SystemVariableID,EntityTypeID,EntityTypeName,SystemVariableCode,SystemVariableDescription,NumericValue,Sequence,IsSystemGenerated,IsInactive,CompanyID,CreatedBy,CreatedDate,CreatedIP,UpdatedBy,UpdatedDate,UpdatedIP,RowVersion
119,28,PaymentTerms,Payment will be made after 90 days after the invoice submission which duly certified by the respective user department.,Payment will be made after 90 days after the invoice submission which duly certified by the respective user department.,90,11,0,0,nagad,3,07:21.1,opening,NULL,NULL,NULL,1
120,29,InvoiceType,Debit Memo,Debit Memo,1,1,0,0,nagad,3,00:00.0,Opening,NULL,NULL,NULL,1
121,29,InvoiceType,Credit Memo,Credit Memo,1,1,0,0,nagad,3,00:00.0,Opening,NULL,NULL,NULL,1
122,29,InvoiceType,GRNSCC Reverse,GRNSCC Reverse,1,1,0,0,nagad,3,00:00.0,Opening,NULL,NULL,NULL,1
123,29,InvoiceType,Standard,Standard,1,1,0,0,nagad,3,00:00.0,Opening,NULL,NULL,NULL,1
124,28,PaymentTerms,15 % Advance Payment (Payment will be made in advance),15 % Advance Payment (Payment will be made in advance)  ,15,13,1,0,nagad,3,07:21.1,opening,NULL,NULL,NULL,1
125,28,PaymentTerms,20 % Advance Payment (Payment will be made in advance),20 % Advance Payment (Payment will be made in advance)  ,20,14,1,0,nagad,3,07:21.1,opening,NULL,NULL,NULL,1
126,28,PaymentTerms,25 % Advance Payment (Payment will be made in advance),25 % Advance Payment (Payment will be made in advance)  ,25,15,1,0,nagad,3,07:21.1,opening,NULL,NULL,NULL,1
127,28,PaymentTerms,30 % Advance Payment (Payment will be made in advance),30 % Advance Payment (Payment will be made in advance)  ,30,16,1,0,nagad,3,07:21.1,opening,NULL,NULL,NULL,1
128,28,PaymentTerms,35 % Advance Payment (Payment will be made in advance),35 % Advance Payment (Payment will be made in advance)  ,35,17,1,0,nagad,3,07:21.1,opening,NULL,NULL,NULL,1
129,28,PaymentTerms,40 % Advance Payment (Payment will be made in advance),40 % Advance Payment (Payment will be made in advance),40,18,1,0,nagad,3,07:21.1,opening,NULL,NULL,NULL,1
130,28,PaymentTerms,45 % Advance Payment (Payment will be made in advance),45 % Advance Payment (Payment will be made in advance),45,19,1,0,nagad,3,07:21.1,opening,NULL,NULL,NULL,1
131,28,PaymentTerms,50 % Advance Payment (Payment will be made in advance),50 % Advance Payment (Payment will be made in advance),50,20,1,0,nagad,3,07:21.1,opening,NULL,NULL,NULL,1
132,28,PaymentTerms,55 % Advance Payment (Payment will be made in advance),55 % Advance Payment (Payment will be made in advance),55,21,1,0,nagad,3,07:21.1,opening,NULL,NULL,NULL,1
133,28,PaymentTerms,60 % Advance Payment (Payment will be made in advance)  ,60 % Advance Payment (Payment will be made in advance)  ,60,22,1,0,nagad,3,07:21.1,opening,NULL,NULL,NULL,1
134,28,PaymentTerms,65 % Advance Payment (Payment will be made in advance),65 % Advance Payment (Payment will be made in advance),65,23,1,0,nagad,3,07:21.1,opening,NULL,NULL,NULL,1
135,28,PaymentTerms,70 % Advance Payment (Payment will be made in advance),70 % Advance Payment (Payment will be made in advance),70,24,1,0,nagad,3,07:21.1,opening,NULL,NULL,NULL,1
136,28,PaymentTerms,75 % Advance Payment (Payment will be made in advance),75 % Advance Payment (Payment will be made in advance),75,25,1,0,nagad,3,07:21.1,opening,NULL,NULL,NULL,1
137,28,PaymentTerms,80 % Advance Payment (Payment will be made in advance),80 % Advance Payment (Payment will be made in advance),80,26,1,0,nagad,3,07:21.1,opening,NULL,NULL,NULL,1
138,28,PaymentTerms,85 % Advance Payment (Payment will be made in advance),85 % Advance Payment (Payment will be made in advance),85,27,1,0,nagad,3,07:21.1,opening,NULL,NULL,NULL,1
139,28,PaymentTerms,90 % Advance Payment (Payment will be made in advance),90 % Advance Payment (Payment will be made in advance),90,28,1,0,nagad,3,07:21.1,opening,NULL,NULL,NULL,1
140,28,PaymentTerms,95 % Advance Payment (Payment will be made in advance),95 % Advance Payment (Payment will be made in advance),95,29,1,0,nagad,3,07:21.1,opening,NULL,NULL,NULL,1
141,28,PaymentTerms,100 % Advance Payment (Payment will be made in advance),100 % Advance Payment (Payment will be made in advance),100,30,1,0,nagad,3,07:21.1,opening,NULL,NULL,NULL,1
142,10,LeaveCategory,Paternity Leave,Paternity Leave,1,9,0,0,nagad,503,08:18.4,172.16.202.118,NULL,NULL,NULL,1
143,30,Yes-No,Yes,Yes,1,1,0,0,nagad,3,09:27.9,172.23.128.1,NULL,NULL,NULL,1
144,30,Yes-No,No,No,1,2,0,0,nagad,3,09:27.9,172.23.128.1,NULL,NULL,NULL,1
145,31,VATTAX-Deduction-Source,VDS,VDS,1,1,0,0,nagad,3,09:27.9,172.23.128.1,NULL,NULL,NULL,1
146,31,VATTAX-Deduction-Source,TDS-SLAB,TDS-SLAB,1,2,0,0,nagad,3,09:27.9,172.23.128.1,NULL,NULL,NULL,1
147,31,VATTAX-Deduction-Source,TDS-FIXED,TDS-FIXED,1,3,0,0,nagad,3,09:27.9,172.23.128.1,NULL,NULL,NULL,1
