SystemVariableID,EntityTypeID,EntityTypeName,SystemVariableCode,SystemVariableDescription,NumericValue,Sequence,IsSystemGenerated,IsInactive,CompanyID,CreatedBy,CreatedDate,CreatedIP,UpdatedBy,UpdatedDate,UpdatedIP,RowVersion
190,45,InvoiceFileUploadCategory,Tax Exemption Certificate,Tax Exemption Certificate,1,3,0,0,nagad,3,09:27.9,172.23.128.1,NULL,NULL,NULL,1
191,45,InvoiceFileUploadCategory,SRO,SRO,1,3,0,0,nagad,3,09:27.9,172.23.128.1,NULL,NULL,NULL,1
192,45,InvoiceFileUploadCategory,PSR,PSR,1,3,0,0,nagad,3,09:27.9,172.23.128.1,NULL,NULL,NULL,1
193,3,MaritialStatus,Others,Others,1,3,0,0,nagad,3,00:00.0,NULL,NULL,NULL,NULL,1
194,6,EmployeeJobStatus,Intern,Intern,0,5,1,0,nagad,3,23:41.5,NULL,NULL,NULL,NULL,1
195,46,AdminSupportRequestType,Consumable Goods,Consumable Goods,1,1,0,0,nagad,3,09:27.9,172.23.128.1,NULL,NULL,NULL,1
196,46,AdminSupportRequestType,Vehicle Or Transport,Vehicle Or Transport,1,2,0,0,nagad,3,09:27.9,172.23.128.1,NULL,NULL,NULL,1
197,46,AdminSupportRequestType,Facilities Or Support,Facilities Or Support,1,3,0,0,nagad,3,09:27.9,172.23.128.1,NULL,NULL,NULL,1
198,47,FacilitiesOrSupportCategory,Electric Support,Electric Support,1,1,0,0,nagad,3,09:27.9,172.23.128.1,NULL,NULL,NULL,1
199,47,FacilitiesOrSupportCategory,Cleaning Support,Cleaning Support,1,2,0,0,nagad,3,09:27.9,172.23.128.1,NULL,NULL,NULL,1
200,47,FacilitiesOrSupportCategory,Support Staff,Support Staff,1,3,0,0,nagad,3,09:27.9,172.23.128.1,NULL,NULL,NULL,1
201,47,FacilitiesOrSupportCategory,Other,Other,1,4,0,0,nagad,3,09:27.9,172.23.128.1,NULL,NULL,NULL,1
202,48,TransportType,Car,Car,1,1,0,0,nagad,3,09:27.9,172.23.128.1,NULL,NULL,NULL,1
203,48,TransportType,Microbus,Microbus,1,2,0,0,nagad,3,09:27.9,172.23.128.1,NULL,NULL,NULL,1
204,48,TransportType,Pickup,Pickup,1,3,0,0,nagad,3,09:27.9,172.23.128.1,NULL,NULL,NULL,1
205,18,EmployeeCategory,Temporary,Temporary,1,5,1,0,nagad,3,38:40.5,NULL,NULL,NULL,NULL,1
206,36,HRSupportCategoryType,Incentive Pay Slip,Incentive Pay Slip,1,3,0,0,nagad,3,09:27.9,172.23.128.1,NULL,NULL,NULL,1
207,36,HRSupportCategoryType,Festival Bonus Pay Slip,Festival Bonus Pay Slip,1,4,0,0,nagad,3,09:27.9,172.23.128.1,NULL,NULL,NULL,1
208,49,DOA-Type,Replace,Replace,1,1,0,0,nagad,3,41:35.3,172.23.128.1,NULL,NULL,NULL,1
209,49,DOA-Type,Proxy,Proxy,1,2,0,0,nagad,3,41:35.3,172.23.128.1,NULL,NULL,NULL,1
210,50,DOA-Status,Active,Active,1,1,0,0,nagad,3,41:35.3,172.23.128.1,NULL,NULL,NULL,1
211,50,DOA-Status,InActive,InActive,1,2,0,0,nagad,3,41:35.3,172.23.128.1,NULL,NULL,NULL,1
212,50,DOA-Status,Expired,Expired,1,2,0,0,nagad,3,41:35.3,172.23.128.1,NULL,NULL,NULL,1
213,10,LeaveCategory,Contractual Leave,Contractual Leave,1,10,1,0,nagad,3,18:14.0,NULL,NULL,NULL,NULL,1
214,20,AttendanceStatus,Pending Leave,Pending Leave,1,17,0,0,nagad,3,09:27.9,172.23.128.1,NULL,NULL,NULL,1
215,20,AttendanceStatus,Pending Remote,Pending Remote,1,18,0,0,nagad,3,09:27.9,172.23.128.1,NULL,NULL,NULL,1
216,49,InvalidPassword,Invalid Password,Invalid Password,1,1,0,0,nagad,3,09:27.9,172.23.128.1,NULL,NULL,NULL,1
