MenuID,ParentID,ApplicationID,ID,Title,Translate,Type,Icon,Url,Badge,Target,Exact,Auth,Parameters,IsVisible,SequenceNo
201,196,1,leave-encashment-approval-list,Leave Encashment Approval List,Leave Encashment Approval List,item,NULL,/apps/hrms/leave-encashment/leave-encashment-approval/encashmentApprovalList,NULL,NULL,1,NULL,NULL,1,1.40
202,53,1,leave-application,Leave Application,Leave Application,collapse,how_to_reg,NULL,NULL,NULL,1,NULL,NULL,1,1.53
203,170,1,Document-Upload-add,Add Document Upload,Add Document Upload,item,add_circle,/apps/hrms/payroll/documentUpload/addDocumentUpload/new,NULL,NULL,1,NULL,NULL,1,1.10
204,170,1,Document-Upload-list,Document Upload List,Document Upload List,item,list,/apps/hrms/payroll/documentUpload/documentUploadList,NULL,NULL,1,NULL,NULL,1,1.11
205,170,1,hod-document-upload-list,"HOD Document Upload List ",HOD Document Upload List,item,NULL,/apps/hrms/payroll/documentUpload/listDocumentUploadForHOD,NULL,NULL,1,NULL,NULL,1,3.00
206,3099,1,add-person,Add New Person with emp,Add New Person with emp,item,person_add,/apps/hrms/employee/addEmployeeWithPerson/new,NULL,NULL,1,NULL,NULL,0,1.21
207,3,1,business-support,Business Support,Business Support,collapse,shopping_cart,NULL,NULL,NULL,1,NULL,NULL,1,1.30
208,207,1,support-request,Support Request,Support Request,collapse,NULL,NULL,NULL,NULL,1,NULL,NULL,1,1.31
209,222,1,Create-Support-Request,Create Support Request,Create Support Request,item,add_circle,/apps/adminSupport/requestSupport/addSupportRequest/Self/new,NULL,NULL,1,NULL,NULL,1,1.32
210,222,1,Support-Request-List,Support Request List,Support Request List,item,list,/apps/adminSupport/requestSupport/supportRequestList,NULL,NULL,1,NULL,NULL,1,1.33
211,55,1,employee-panel-map-config,Emp. Panel Map Config,Emp. Panel Map Config,item,NULL,/apps/approval/employeepanelmapConfig,NULL,NULL,1,NULL,NULL,1,2.01
212,138,1,invoice-reports,Invoice Reports,Invoice Reports,item,NULL,/apps/scm/invoice/invoice-create/invoiceReportList,NULL,NULL,1,NULL,NULL,1,1.15
213,102,1,Create PR,Create PR,Create PR,item,NULL,/apps/scm/purchaseRequisition/createPurchaseRequisition/new,NULL,NULL,1,NULL,NULL,1,1.10
214,67,1,DOA,DOA,DOA,collapse,NULL,NULL,NULL,NULL,1,NULL,NULL,1,1.10
215,214,1,Create DOA,Create DOA,Create DOA,item,NULL,/apps/approval/doa/createDoa/emp/new,NULL,NULL,1,NULL,NULL,1,1.11
216,214,1,DOA List,DOA List,DOA List,item,NULL,/apps/approval/doa/doa-list/emp,NULL,NULL,1,NULL,NULL,1,1.12
217,214,1,Create DOA(HR),Create DOA(HR),Create DOA(HR),item,NULL,/apps/approval/doa/createDoa/hr/new,NULL,NULL,1,NULL,NULL,1,1.13
218,214,1,DOA List(HR),DOA List(HR),DOA List(HR),item,NULL,/apps/approval/doa/doa-list/hr,NULL,NULL,1,NULL,NULL,1,1.14
219,24,1,Remote-Attendance-list,Remote Attendance List,Remote Attendance List,item,NULL,/apps/hrms/attendance/remoteAttendanceList,NULL,NULL,1,NULL,NULL,1,1.34
220,223,1,Employee-Support-Request-List,Support Request List,Support Request List,item,list,/apps/adminSupport/requestSupport/employeeSupportRequestList,NULL,NULL,1,NULL,NULL,1,1.35
221,223,1,Create-Support-Request-Employee,Create Support Request,Create Support Request,item,add_circle,/apps/adminSupport/requestSupport/addSupportRequest/Employee/new,NULL,NULL,1,NULL,NULL,1,1.32
222,208,1,Self,Self,Self,collapse,NULL,NULL,NULL,NULL,1,NULL,NULL,1,1.15
223,208,1,Employee,Employee,Employee,collapse,NULL,NULL,NULL,NULL,1,NULL,NULL,1,1.15
225,86,1,system-configuration,System Configuration,System Configuration,item,NULL,/apps/security/masterdata/systemConfiguration/createSystemConfiguration/new,NULL,NULL,1,NULL,NULL,1,1.50
226,24,1,Attendance-Adherence-Report,Attendance Adherence Report,Attendance Adherence Report,item,,/apps/reportViewer/hrms/attendanceAdherenceReport,NULL,NULL,1,NULL,NULL,1,1.36
227,53,1,notify-unauthorized-leaves,Notify Unauthorized Leaves,Notify Unauthorized Leaves,item,list,/apps/hrms/leave-management/notify-unauthorized-leaves,NULL,NULL,1,NULL,NULL,1,2.50
228,189,1,po-list-for-scc,PO List For SCC,PO List For SCC,item,NULL,/apps/scm/scc/poListForSCC,NULL,NULL,1,NULL,NULL,1,1.22
229,202,1,adjust-employees-leaves,Adjust Employee's Leaves,Adjust Employee's Leaves,item,NULL,/apps/hrms/leave-management/leave-application/hr/new,NULL,NULL,1,NULL,NULL,1,1.54
230,67,1,approval-Pannel-Window,Approval Pannel Window,Approval Pannel Window,collapse,admin_panel_settings,NULL,NULL,NULL,1,NULL,NULL,1,2.34
231,230,1,approval-pannel-window-history,Approval Pannel Window History,Approval Pannel Window History,item,NULL,/apps/approval/approvalPanelWindow/approval-pannel-window-history,NULL,NULL,1,NULL,NULL,1,1.03
232,230,1,create-Approval-Pannel-Window,Create Approval Pannel Window,Create Approval Pannel Window,item,NULL,/apps/approval/approvalPanelWindow/createApprovalPanelWindow/new,NULL,NULL,1,NULL,NULL,1,1.02
233,91,1,wallet,Wallet,Wallet,collapse,NULL,NULL,NULL,NULL,1,NULL,NULL,1,1.91
